MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Target,Households_est,AveRoomsPerHousehold,PopulationPerHousehold,AveBedrmsPerRoom
0.6831966610035716,0.9999999999999999,0.5999350237530998,0.5596462020561943,0.17400881057268724,0.4066728488335127,0.5642933049946866,0.2147239263803673,0.7209462639278303,0.09551056338028169,0.012492546945741988,0.4066728488335127,0.1489029665119263
0.44281834842748774,0.9999999999999999,0.6755904199995739,0.5817353299102992,0.1762114537444934,0.29919357342189407,0.5642933049946866,0.2147239263803673,0.7229347703606488,0.1131161971830986,0.011337128931804672,0.29919357342189407,0.12124304203454389
0.46831565288349625,0.9999999999999999,0.4279896510259586,0.6438190731552473,0.12838263058527377,0.287001845477922,0.5642933049946866,0.2147239263803673,0.5627495299391738,0.0840669014084507,0.011546067633559729,0.287001845477922,0.2547662606595235
0.4177892526052465,0.9999999999999999,0.4557187734653643,0.22453211610842194,0.3426683448709881,0.2836316024719477,0.5632306057385765,0.2147239263803673,0.6279283519037739,0.22535211267605634,0.004001712133896196,0.2836316024719477,0.1677889013953281
0.3456717456155605,0.9999999999999999,0.43383179277966905,0.5287072414779472,0.36249213341724357,0.18387335991478232,0.5632306057385765,0.2147239263803673,0.5002220498849981,0.2838908450704225,0.0029107829265724297,0.18387335991478232,0.23139357797015098
0.20660040399716395,0.8039215686274509,0.3518393285239025,0.6824257706352994,0.37791063561988675,0.25385998973104856,0.5632306057385765,0.21370143149284004,0.46774311148229897,0.26100352112676056,0.0028116889303697956,0.25385998973104856,0.3185329123462162
0.4220833946463686,0.9999999999999999,0.46201901613362456,0.3314685098474359,0.486469477658905,0.29649593877675856,0.5632306057385765,0.2147239263803673,0.5437482462477988,0.3133802816901408,0.0026838886722164714,0.29649593877675856,0.18191057325854892
0.35678835632014766,0.9999999999999999,0.5446001577230006,0.5776624092060869,0.28477029578351165,0.3233051018022223,0.5642933049946866,0.21370143149284004,0.5888210587250138,0.17605633802816906,0.006018699474303577,0.3233051018022223,0.17717288702378314
0.36580471686755045,0.9999999999999999,0.4297522008544831,0.42599378339855853,0.47168030207677786,0.26035768929423536,0.5642933049946866,0.21370143149284004,0.5011058305218062,0.32218309859154926,0.0024539086954818044,0.26035768929423536,0.21650549466840363
0.3396519203242679,0.9999999999999999,0.5193607673403935,0.3937686153127369,0.34392699811202015,0.347492249551752,0.5642933049946866,0.21370143149284004,0.4385783504676304,0.2051056338028169,0.004891439975596326,0.347492249551752,0.1619394764457619
